Data Type,Query Name,Average,Runs
Pandas,Query 1,3.11,"[4.0300703048706055, 3.1845250129699707, 2.9843780994415283, 2.994044303894043, 2.99076771736145, 2.9556219577789307, 2.855553388595581, 2.911940336227417, 3.011198043823242, 3.1032533645629883, 3.095449924468994, 3.127932548522949, 3.065885305404663, 3.0925936698913574, 3.0401809215545654, 3.0391337871551514, 3.1384189128875732, 3.5646932125091553, 3.224945306777954, 3.078461170196533, 3.2236111164093018, 2.9742043018341064, 3.064833641052246, 3.0496881008148193, 3.011198043823242]"
SQL,Query 1,7.55,"[8.192420959472656, 7.728012800216675, 7.668274641036987, 7.366175174713135, 7.727712631225586, 7.4747443199157715, 7.595831394195557, 7.370769262313843, 7.591585397720337, 7.781617879867554, 7.494762420654297, 7.688831806182861, 7.433366298675537, 7.586446285247803, 7.26591157913208, 7.2108142375946045, 7.4963977336883545, 7.14505934715271, 7.785422086715698, 7.59182333946228, 7.6488261222839355, 7.299872875213623, 7.470657587051392, 7.534449815750122, 7.657230377197266]"
Pandas (No Column Limiting),Query 1,3.2,"[3.742220163345337, 3.2311770915985107, 3.253018617630005, 3.2000715732574463, 3.369248151779175, 3.2757720947265625, 3.216080904006958, 3.215001344680786, 3.499831438064575, 3.6682052612304688, 3.3010764122009277, 3.1972455978393555, 2.9285964965820312, 3.047950506210327, 3.2067441940307617, 3.1904661655426025, 3.1679680347442627, 2.983405113220215, 3.100334644317627, 3.2347962856292725, 3.070478677749634, 3.2183923721313477, 2.974181652069092, 2.8091533184051514, 2.9340620040893555]"
Pandas,Query 18,2.85,"[3.2967982292175293, 2.8497703075408936, 2.8977112770080566, 2.873206615447998, 2.84010648727417, 2.8438010215759277, 2.73581862449646, 2.79994797706604, 2.9314517974853516, 2.8985371589660645, 2.726301431655884, 2.8521106243133545, 2.757673501968384, 2.7275216579437256, 2.8144845962524414, 2.7800650596618652, 2.8144259452819824, 2.840754985809326, 2.8642477989196777, 2.8151843547821045, 2.879084587097168, 2.822751760482788, 2.793287992477417, 3.144639492034912, 2.650179147720337]"
SQL,Query 18,3.18,"[4.012242078781128, 2.9759979248046875, 3.080415964126587, 3.613854169845581, 3.1705820560455322, 4.186425685882568, 3.344562292098999, 3.0193886756896973, 3.016723871231079, 3.089344024658203, 3.1127207279205322, 3.110806941986084, 3.0737016201019287, 2.9703385829925537, 3.1038403511047363, 3.002183198928833, 3.0518381595611572, 3.050086259841919, 3.156691551208496, 2.9967129230499268, 2.943098306655884, 3.0599143505096436, 3.1441426277160645, 3.119598627090454, 3.0331265926361084]"
Pandas (No Column Limiting),Query 18,2.89,"[3.3353586196899414, 2.9525797367095947, 2.972433567047119, 2.8554728031158447, 2.574784278869629, 2.962029218673706, 2.804905652999878, 2.80820369720459, 2.8755855560302734, 2.9524052143096924, 2.8652379512786865, 2.9044289588928223, 2.8629863262176514, 3.0325543880462646, 2.8558692932128906, 2.8415253162384033, 2.9218082427978516, 2.850137710571289, 2.8864612579345703, 2.82712984085083, 2.790827989578247, 2.9315311908721924, 2.8776090145111084, 2.8648147583007812, 2.874418258666992]"
Pandas,Query 4,1.03,"[2.5940489768981934, 0.9722585678100586, 0.9631338119506836, 0.9795029163360596, 0.9551889896392822, 0.9544129371643066, 0.9746322631835938, 0.9577462673187256, 0.9708259105682373, 0.9714770317077637, 0.9353206157684326, 0.9489231109619141, 0.9732882976531982, 0.9791116714477539, 0.9476869106292725, 0.9600470066070557, 0.9592287540435791, 0.9484493732452393, 1.0162310600280762, 1.0164422988891602, 0.9591636657714844, 0.9560642242431641, 0.9643793106079102, 0.9493417739868164, 0.9727928638458252]"
SQL,Query 4,0.61,"[0.6163585186004639, 0.6618790626525879, 0.639855146408081, 0.5877249240875244, 0.6254706382751465, 0.5926008224487305, 0.611346960067749, 0.5898308753967285, 0.6026697158813477, 0.6021685600280762, 0.5966155529022217, 0.5862863063812256, 0.6105630397796631, 0.6150479316711426, 0.5886690616607666, 0.6067197322845459, 0.605698823928833, 0.6041500568389893, 0.597404956817627, 0.5952153205871582, 0.6120917797088623, 0.6110436916351318, 0.6856684684753418, 0.6034927368164062, 0.5902941226959229]"
Pandas (No Column Limiting),Query 4,1.12,"[1.5055029392242432, 1.1534597873687744, 1.0303285121917725, 1.0802388191223145, 1.0309255123138428, 1.1666030883789062, 1.1020221710205078, 1.095994234085083, 1.0887320041656494, 1.0773825645446777, 1.2105491161346436, 1.1747419834136963, 1.2079153060913086, 1.1304717063903809, 1.103433609008789, 1.1068830490112305, 1.0758998394012451, 1.128004789352417, 1.063624382019043, 1.0849575996398926, 1.0679190158843994, 1.1535441875457764, 1.097583532333374, 1.0656073093414307, 1.0893547534942627]"
Pandas,Query 3,1.22,"[1.6357777118682861, 1.2008388042449951, 1.1629624366760254, 1.199676275253296, 1.1543042659759521, 1.1510248184204102, 1.1960804462432861, 1.1663849353790283, 1.188417911529541, 1.1679341793060303, 1.1627931594848633, 1.1682171821594238, 1.1667580604553223, 1.153132677078247, 1.1675539016723633, 1.1736373901367188, 1.169351577758789, 1.1689176559448242, 1.1687986850738525, 1.173649549484253, 1.1814618110656738, 1.3872778415679932, 1.5659804344177246, 1.2531485557556152, 1.16127347946167]"
SQL,Query 3,1.22,"[1.2729697227478027, 1.2614715099334717, 1.2346651554107666, 1.2081990242004395, 1.2038302421569824, 1.1923279762268066, 1.2328214645385742, 1.2189908027648926, 1.1994149684906006, 1.2165210247039795, 1.1969201564788818, 1.2774920463562012, 1.2417278289794922, 1.1914408206939697, 1.1936743259429932, 1.2275269031524658, 1.2000551223754883, 1.2193078994750977, 1.2278823852539062, 1.1961822509765625, 1.213104486465454, 1.2032980918884277, 1.2351384162902832, 1.1961126327514648, 1.2065327167510986]"
Pandas (No Column Limiting),Query 3,1.24,"[1.6376330852508545, 1.1928622722625732, 1.1995508670806885, 1.1855168342590332, 1.2413055896759033, 1.177525520324707, 1.1703226566314697, 1.1657006740570068, 1.2376468181610107, 1.1913442611694336, 1.268266201019287, 1.3117749691009521, 1.2119131088256836, 1.2347614765167236, 1.2607572078704834, 1.1870849132537842, 1.2411384582519531, 1.2244024276733398, 1.237199068069458, 1.1703083515167236, 1.2685790061950684, 1.209789752960205, 1.1903066635131836, 1.2910583019256592, 1.2226924896240234]"
Pandas,Query 6,0.156,"[0.24915766716003418, 0.18855023384094238, 0.1717243194580078, 0.16088199615478516, 0.14318227767944336, 0.15896129608154297, 0.15429139137268066, 0.15180110931396484, 0.16315603256225586, 0.1668083667755127, 0.16200613975524902, 0.1350247859954834, 0.15156197547912598, 0.14958953857421875, 0.1436319351196289, 0.14241790771484375, 0.14345121383666992, 0.13667511940002441, 0.13878107070922852, 0.14795804023742676, 0.15580368041992188, 0.14173102378845215, 0.14427471160888672, 0.1423053741455078, 0.1450960636138916]"
